Portal,Organization,Wikidata URI,DBpedia URI
africaopendata_org,FIFA18Coinsale,,
africaopendata_org,Financial Transparency Coalition,http://www.wikidata.org/entity/Q17013594,
africaopendata_org,Flora Clerk,,
africaopendata_org,Geoffrey Kilpin (UCT) and MAPP,,
africaopendata_org,GeoSUN Africa,,
africaopendata_org,Geothink,,
africaopendata_org,Ghana Energy Commission,,
africaopendata_org,Ghana Grid Company (GRIDCo),,
africaopendata_org,Global Terrorism Database,http://www.wikidata.org/entity/Q18344939,http://dbpedia.org/resource/Global_Terrorism_Database
africaopendata_org,Global Witness,http://www.wikidata.org/entity/Q3108981,http://dbpedia.org/resource/Global_Witness
africaopendata_org,Gmail technical support number,,
africaopendata_org,Government of Morocco (data.gov.ma),,
africaopendata_org,Government of Swaziland.,,
africaopendata_org,"Grace C. Wu, Ranjit Deshmukh",,
africaopendata_org,Greg Kempe,,
africaopendata_org,HacksHackers Africa,,
africaopendata_org,Haroun Beltaifa,,
africaopendata_org,Health Systems Trust,http://www.wikidata.org/entity/Q30261840,
africaopendata_org,Helga Treichel,,
africaopendata_org,Hotmail Support Number In New Zealand - 1800–360–519,,
africaopendata_org,IEBC,http://www.wikidata.org/entity/Q65934277,http://dbpedia.org/resource/Irwin_Cox
africaopendata_org,IG Publications,,
africaopendata_org,ILRI,http://www.wikidata.org/entity/Q1666743,http://dbpedia.org/resource/International_Livestock_Research_Institute
africaopendata_org,Ines Perez Arroyo,,
africaopendata_org,Inspectorate of government,,
africaopendata_org,Institute for Security Studies,http://www.wikidata.org/entity/Q18126017,http://dbpedia.org/resource/European_Union_Institute_for_Security_Studies
africaopendata_org,International Budget Partnership (Kenya),,
africaopendata_org,Jane Rose,http://www.wikidata.org/entity/Q28030743,http://dbpedia.org/resource/Jane_Rosenthal
africaopendata_org,Jason,http://www.wikidata.org/entity/Q2630093,http://dbpedia.org/resource/Hawkwind
africaopendata_org,JD Bothma,,
africaopendata_org,Joana Zerbin,,
africaopendata_org,joshd,http://www.wikidata.org/entity/Q67452127,
africaopendata_org,Joshua Project,http://www.wikidata.org/entity/Q6290136,http://dbpedia.org/resource/Joshua_Project
africaopendata_org,Julia,http://www.wikidata.org/entity/Q2737173,http://dbpedia.org/resource/Juilliard_School
africaopendata_org,jusvalen tino,,
africaopendata_org,kcca,http://www.wikidata.org/entity/Q1654495,http://dbpedia.org/resource/Kampala_Capital_City_Authority
africaopendata_org,KCCA,http://www.wikidata.org/entity/Q1654495,http://dbpedia.org/resource/Kampala_Capital_City_Authority
africaopendata_org,Kenya Open Data Initiative,,
africaopendata_org,Kenya Power,http://www.wikidata.org/entity/Q6392687,http://dbpedia.org/resource/Kenya_Power_and_Lighting_Company
africaopendata_org,"Lands and Surveys, Entebbe",,
africaopendata_org,Lawrence Makhoba,,
africaopendata_org,Lesotho Bureau of Statistics,,
africaopendata_org,Lion Summerbell,,
africaopendata_org,Luis Andres,http://www.wikidata.org/entity/Q55267356,http://dbpedia.org/resource/Luís_Andrés_Edo
africaopendata_org,Martha Sithole,,
africaopendata_org,Martin Szigeti,,
africaopendata_org,Megan Stone,,
africaopendata_org,Meimuna,http://www.wikidata.org/entity/Q21226095,
africaopendata_org,MENA,http://www.wikidata.org/entity/Q79567,http://dbpedia.org/resource/Zoo
africaopendata_org,Michael Bauer,http://www.wikidata.org/entity/Q55688645,http://dbpedia.org/resource/Anthroposophy
africaopendata_org,Ministère de la Santé,http://www.wikidata.org/entity/Q3315316,
africaopendata_org,Ministry of Agriculture Animal Industry and Fisheries,,
africaopendata_org,"Ministry of Education and Skills Development, Republic of Botswana.",,
africaopendata_org,Ministry of Education and Sports,http://www.wikidata.org/entity/Q6017262,http://dbpedia.org/resource/Education_in_Uganda
africaopendata_org,"Ministry of Education, Morocco",,
africaopendata_org,Ministry of Employment and Vocational and Training,,
africaopendata_org,Ministry of Environment and Public Utilities,,
africaopendata_org,"Ministry of Environment and Tourism, Republic of Namibia",,
africaopendata_org,"Ministry of Finance and Planning Development, Republic of Botswana.",,
africaopendata_org,"Ministry of Finance, Planning and Development, Republic of Botswana.",,
africaopendata_org,"Ministry of Finance, Planning and Economic Development",http://www.wikidata.org/entity/Q17068478,"http://dbpedia.org/resource/Ministry_of_Finance,_Planning_and_Economic_Development_(Uganda)"
africaopendata_org,"Ministry of Finance, Republic of Tanzania",,
africaopendata_org,Ministry of Health,http://www.wikidata.org/entity/Q1519799,http://dbpedia.org/resource/Department_of_Health_(United_Kingdom)
africaopendata_org,Ministry of Health ,http://www.wikidata.org/entity/Q1519799,http://dbpedia.org/resource/Department_of_Health_(United_Kingdom)
africaopendata_org,"MInistry of Health, Government of Uganda",,
africaopendata_org,Ministry of Health & Ministry of Finance Planning and Economic Development,http://www.wikidata.org/entity/Q1519799,
africaopendata_org,"Ministry of Prisons, Government of Uganda",,
africaopendata_org,Mo Ibrahim Foundation,http://www.wikidata.org/entity/Q6886227,http://dbpedia.org/resource/Mo_Ibrahim_Foundation
africaopendata_org,Ms. Funlola Osinupebi,,
africaopendata_org,Municipal Demarcation Board ,http://www.wikidata.org/entity/Q1952835,http://dbpedia.org/resource/Municipal_Demarcation_Board
africaopendata_org,Naichen Zhao,,
africaopendata_org,"National Forestry Authority, Ministry of Water Lands and Environment.",,
africaopendata_org,National Renewable Energy Laboratory,http://www.wikidata.org/entity/Q1856153,http://dbpedia.org/resource/National_Renewable_Energy_Laboratory
africaopendata_org,<Nobody>,,http://dbpedia.org/resource/American_Idiot
africaopendata_org,None,http://www.wikidata.org/entity/Q9512,http://dbpedia.org/resource/License
africaopendata_org,Obinna,http://www.wikidata.org/entity/Q56540082,http://dbpedia.org/resource/Al-Merreikh_SC
africaopendata_org,Obinna Nnenanya,,
africaopendata_org,OCHA Côte d'Ivoire,,
africaopendata_org,OCHA DR Congo,,
africaopendata_org,OCHA Nigeria,,
africaopendata_org,OCHA ROWCA,,
africaopendata_org,OCHA Sudan,,
africaopendata_org,Odipo Dev,,
africaopendata_org,OECD,http://www.wikidata.org/entity/Q41550,http://dbpedia.org/resource/Organisation_for_Economic_Co-operation_and_Development
africaopendata_org,Oliver James Knight,http://www.wikidata.org/entity/Q76189488,
africaopendata_org,Oliver Knight,http://www.wikidata.org/entity/Q7087648,http://dbpedia.org/resource/Oliver_Knight_(musician)
africaopendata_org,opendata,http://www.wikidata.org/entity/Q309901,http://dbpedia.org/resource/Open_data
africaopendata_org,Open Data,http://www.wikidata.org/entity/Q309901,http://dbpedia.org/resource/ODBC
africaopendata_org,Open Data Durban,,
africaopendata_org,Open Data Tea,,
africaopendata_org,Open data Team,,
africaopendata_org,Open DataTeam,,
africaopendata_org,Open Data Team,,
africaopendata_org,opendata@tic.gov.bf,,
africaopendata_org,OpenStreetMap,http://www.wikidata.org/entity/Q936,http://dbpedia.org/resource/OpenStreetMap
africaopendata_org,Oxpeckers Investigative Environmental Journalism Centre,,
africaopendata_org,Parliament Watch Uganda,,
africaopendata_org,peeryjohnson,,
africaopendata_org,PesaCheck,,
africaopendata_org,Petter ReplicaWhy,,
africaopendata_org,Prasad Peteti,,
africaopendata_org,Premium Times Centre for Investigative Journalism (PTCIJ),,
africaopendata_org,Prof. Clionadh Raleigh,,
africaopendata_org,Public Private Development Centre,,
africaopendata_org,Rembrandt Koppelaar,,
africaopendata_org,Rodney Steinhofel,,
africaopendata_org,Roni Sharma,,
africaopendata_org,Roxanne,http://www.wikidata.org/entity/Q18611811,http://dbpedia.org/resource/Pop_Idol
africaopendata_org,Sahara Reporters,http://www.wikidata.org/entity/Q7399506,http://dbpedia.org/resource/Sahara_Reporters
africaopendata_org,Saori Minamino,,
africaopendata_org,Shaky Sherpa,,
africaopendata_org,Simeon Oriko,,
africaopendata_org,SITA SAPS Webteam (SITA TIS),,
africaopendata_org,smithrosie098,,
africaopendata_org,Smriti Kumble,,
africaopendata_org,SNV Ghana,,
africaopendata_org,Socioeconomic Data and Applications Center (sedac),,
africaopendata_org,SON,http://www.wikidata.org/entity/Q177232,http://dbpedia.org/resource/Jesus
africaopendata_org,StatsSA,,
africaopendata_org,Takwimu,http://www.wikidata.org/entity/Q12483,
africaopendata_org,Tanya Primiani ,,
africaopendata_org,The Centre for Humanitarian Data,,
africaopendata_org,T. Idriss TINTO,,
africaopendata_org,Twaweza,http://www.wikidata.org/entity/Q30262093,
africaopendata_org,Twinkle Garg,,
africaopendata_org,UBOS and MAAIF,,
africaopendata_org,Uganda Budget Information,,
africaopendata_org,Uganda Bureau of Statistics,http://www.wikidata.org/entity/Q2473854,
africaopendata_org,Uganda Electricity Transmission Company Ltd,,
africaopendata_org,Uganda Insurance Commission,http://www.wikidata.org/entity/Q7877600,http://dbpedia.org/resource/Uganda_Insurance_Commission
africaopendata_org,Uganda National Examination Board,,
africaopendata_org,UN,http://www.wikidata.org/entity/Q1065,http://dbpedia.org/resource/United_States
africaopendata_org,UN Data,http://www.wikidata.org/entity/Q27927330,
africaopendata_org,UNDP,http://www.wikidata.org/entity/Q50357030,http://dbpedia.org/resource/United_Nations_Development_Programme
africaopendata_org,UNICEF,http://www.wikidata.org/entity/Q740308,http://dbpedia.org/resource/UNICEF
africaopendata_org,unknown,http://www.wikidata.org/entity/Q4233718,http://dbpedia.org/resource/Knowledge
africaopendata_org,Ushahidi,http://www.wikidata.org/entity/Q2357100,http://dbpedia.org/resource/Ushahidi
africaopendata_org,Utopia Software,,
africaopendata_org,Valerie Thomas,http://www.wikidata.org/entity/Q21469,http://dbpedia.org/resource/Valerie_Thomas
africaopendata_org,Vivien Foster,,
africaopendata_org,West African NGO Network,,
africaopendata_org,World Bank,http://www.wikidata.org/entity/Q7164,http://dbpedia.org/resource/World_Bank
africaopendata_org,World Bank / Camco Clean Energy,,
africaopendata_org,World Bank (finance.worldbank.org),,
africaopendata_org,"World Bank, IEA",,
africaopendata_org,worldpop.org.uk,,
africaopendata_org,WRI,http://www.wikidata.org/entity/Q10860392,http://dbpedia.org/resource/Writer
africaopendata_org,Xiaoping Wang,http://www.wikidata.org/entity/Q42883678,
africaopendata_org,Yann Tanvez,,
africaopendata_org,Zambia central statistics office,,
africaopendata_org,,,
annuario_comune_fi_it,Annuario Statistico,http://www.wikidata.org/entity/Q27720750,
annuario_comune_fi_it,Annuario Statistico del Comune di Firenze,,
berkeley_demo_socrata_com,CityofBerkeley,,
berkeley_demo_socrata_com,Energy Office,,
berkeley_demo_socrata_com,Police,http://www.wikidata.org/entity/Q35535,http://dbpedia.org/resource/Police
berkeley_demo_socrata_com,Steve Rego,,
bermuda_io,Bermuda.io,,
bermuda_io,,,
beta_avoindata_fi,6aika,,
beta_avoindata_fi,Aalto-Yliopisto,http://www.wikidata.org/entity/Q300980,http://dbpedia.org/resource/Aalto_University
beta_avoindata_fi,Ahvenanmaan käräjäoikeus,http://www.wikidata.org/entity/Q18691287,
beta_avoindata_fi,Avoimen datan mestarikurssi,,
beta_avoindata_fi,Espoo,http://www.wikidata.org/entity/Q47034,http://dbpedia.org/resource/Espoo
beta_avoindata_fi,Espoon kaupungin tekninen ja ympäristötoimi / rakennusvalvontakeskus,,
beta_avoindata_fi,Etelä-Karjalan liitto,,
beta_avoindata_fi,Etelä-Pohjanmaan liitto,http://www.wikidata.org/entity/Q11858910,
beta_avoindata_fi,Etelä-Savon maakuntaliitto,,
beta_avoindata_fi,Geologian tutkimuskeskus,http://www.wikidata.org/entity/Q17489347,
beta_avoindata_fi,Hämeen liitto,,
beta_avoindata_fi,Helsingin kaupungin kiinteistövirasto,,
beta_avoindata_fi,Helsingin kaupungin rakennusvirasto,http://www.wikidata.org/entity/Q18661618,
beta_avoindata_fi,Helsingin kaupungin tietokeskus,,
beta_avoindata_fi,Helsingin seudun liikenne,http://www.wikidata.org/entity/Q473211,http://dbpedia.org/resource/Helsinki_Regional_Transport_Authority
beta_avoindata_fi,Helsingin seudun ympäristöpalvelut,http://www.wikidata.org/entity/Q10520595,
beta_avoindata_fi,Helsinki,http://www.wikidata.org/entity/Q1757,http://dbpedia.org/resource/Helsinki
beta_avoindata_fi,Ilmatieteen laitos,http://www.wikidata.org/entity/Q3266959,
beta_avoindata_fi,IsoPupu,,
beta_avoindata_fi,Jyväskylän yliopisto,http://www.wikidata.org/entity/Q578326,
beta_avoindata_fi,Kainuun liitto,http://www.wikidata.org/entity/Q23045125,
beta_avoindata_fi,Kansaneläkelaitos,http://www.wikidata.org/entity/Q3557354,http://dbpedia.org/resource/Kela
beta_avoindata_fi,Kauniaisten kaupungin yleishallinto / rahatoimisto,,
beta_avoindata_fi,Keski-Pohjanmaan liitto,,
beta_avoindata_fi,Keski-Suomen liitto,http://www.wikidata.org/entity/Q18690608,
beta_avoindata_fi,Kymenlaakson liitto,,
beta_avoindata_fi,Lapin liitto,http://www.wikidata.org/entity/Q11874615,
beta_avoindata_fi,Liikennevirasto,http://www.wikidata.org/entity/Q3360446,
beta_avoindata_fi,Maanmittauslaitos,http://www.wikidata.org/entity/Q979330,http://dbpedia.org/resource/National_Land_Survey_of_Finland
beta_avoindata_fi,Museovirasto,http://www.wikidata.org/entity/Q3029524,http://dbpedia.org/resource/Finnish_National_Board_of_Antiquities
beta_avoindata_fi,Oulu,http://www.wikidata.org/entity/Q47048,http://dbpedia.org/resource/Oulu
beta_avoindata_fi,Päijät-Hämeen liitto,http://www.wikidata.org/entity/Q11889351,
beta_avoindata_fi,Paimio,http://www.wikidata.org/entity/Q1017129,http://dbpedia.org/resource/Paimio
beta_avoindata_fi,Palmia,http://www.wikidata.org/entity/Q2029660,http://dbpedia.org/resource/Palmiano
beta_avoindata_fi,Parainen,http://www.wikidata.org/entity/Q1010550,http://dbpedia.org/resource/Pargas
beta_avoindata_fi,Pirkanmaan liitto,http://www.wikidata.org/entity/Q11888223,
beta_avoindata_fi,Pohjanmaan liitto,http://www.wikidata.org/entity/Q10727827,
beta_avoindata_fi,Pohjois-Karjalan maakuntaliitto,http://www.wikidata.org/entity/Q18691366,
beta_avoindata_fi,Pohjois-Pohjanmaan liitto,http://www.wikidata.org/entity/Q11888476,
beta_avoindata_fi,Pohjois-Savon liitto,,
beta_avoindata_fi,Pyhäranta,http://www.wikidata.org/entity/Q807902,http://dbpedia.org/resource/Pyhäranta
beta_avoindata_fi,QPR Software Oyj,,
beta_avoindata_fi,Satakuntaliitto,,
beta_avoindata_fi,Sosiaali- ja terveysministeriö,http://www.wikidata.org/entity/Q10672883,
beta_avoindata_fi,Stara,http://www.wikidata.org/entity/Q7601297,http://dbpedia.org/resource/Balkan_Mountains
beta_avoindata_fi,Suomen riistakeskus,http://www.wikidata.org/entity/Q11895109,
beta_avoindata_fi,Suomen ympäristökeskus,http://www.wikidata.org/entity/Q3067270,
beta_avoindata_fi,Tampere,http://www.wikidata.org/entity/Q40840,http://dbpedia.org/resource/Tampere
beta_avoindata_fi,Tampereen kaupunkimittaus,,
beta_avoindata_fi,testaan yhteentoimivuutta,,
beta_avoindata_fi,Testi organisaatio,,
beta_avoindata_fi,Testi organisaatio marraskuussa,,
beta_avoindata_fi,Tilastokeskus,http://www.wikidata.org/entity/Q798557,
beta_avoindata_fi,Turku,http://www.wikidata.org/entity/Q38511,http://dbpedia.org/resource/Turku
beta_avoindata_fi,Ubisecure,,
beta_avoindata_fi,Ulkoinen lähde: Hri.fi,,
beta_avoindata_fi,Ulkoinen lähde: Paikkatietohakemisto,,
beta_avoindata_fi,Väestörekisterikeskus,http://www.wikidata.org/entity/Q5450806,
beta_avoindata_fi,Valtiokonttori,http://www.wikidata.org/entity/Q693173,
beta_avoindata_fi,Valtion tieto- ja viestintätekniikkakeskus Valtori,http://www.wikidata.org/entity/Q18662683,
beta_avoindata_fi,Valtiovarainministeriö,http://www.wikidata.org/entity/Q15711797,
beta_avoindata_fi,Vantaa,http://www.wikidata.org/entity/Q127623,http://dbpedia.org/resource/Vantaa
beta_avoindata_fi,Vantaan konserni- ja asukaspalveluiden toimiala / talouspalvelukeskus,,
beta_avoindata_fi,"Vantaan maankäytön, rakentamisen ja ympäristön toimiala / kuntatekniikan keskus",,
beta_avoindata_fi,Vantaan sivistystoimen toimiala / kirjasto- ja tietopalvelut,,
beta_avoindata_fi,Varsinais-Suomen liitto,http://www.wikidata.org/entity/Q11900553,
beta_avoindata_fi,Yksityishenkilö,http://www.wikidata.org/entity/Q11902761,
beta_avoindata_fi,Z CKAN API apitest-20150729140722606476,,
beta_avoindata_fi,Z CKAN API apitest-20150729140839539251,,
beta_avoindata_fi,Z CKAN API apitest-20150729141144343768,,
beta_avoindata_fi,Z CKAN API z-org-apitest-2015-0730-103229-119069,,
beta_avoindata_fi,,,
bistrotdepays_opendatasoft_com,Fédération Nationale des Bistrots de Pays,,
bistrotdepays_opendatasoft_com,,,
bmgf_demo_socrata_com,Adrian,http://www.wikidata.org/entity/Q372250,http://dbpedia.org/resource/Edirne
bmgf_demo_socrata_com,Andy Garcia,http://www.wikidata.org/entity/Q189415,http://dbpedia.org/resource/Andy_García
bmgf_demo_socrata_com,Dylan Bussone,,
bmgf_demo_socrata_com,Meredith Slota,http://www.wikidata.org/entity/Q56074230,
bristol_azure-westeurope-prod_socrata_com,Adrian,http://www.wikidata.org/entity/Q372250,http://dbpedia.org/resource/Edirne
bristol_azure-westeurope-prod_socrata_com,Adrian Ethos,,
bristol_azure-westeurope-prod_socrata_com,airinoz,,
bristol_azure-westeurope-prod_socrata_com,aldric,http://www.wikidata.org/entity/Q575896,http://dbpedia.org/resource/Robert_Aldrich
bristol_azure-westeurope-prod_socrata_com,Andy Edwards,http://www.wikidata.org/entity/Q4760641,http://dbpedia.org/resource/Andy_Edwards
bristol_azure-westeurope-prod_socrata_com,Austin,http://www.wikidata.org/entity/Q16559,"http://dbpedia.org/resource/Austin,_Texas"
bristol_azure-westeurope-prod_socrata_com,Austin Valeske,,
bristol_azure-westeurope-prod_socrata_com,BCC,http://www.wikidata.org/entity/Q809758,http://dbpedia.org/resource/Cubic_crystal_system
bristol_azure-westeurope-prod_socrata_com,Berenice Carissa,,
bristol_azure-westeurope-prod_socrata_com,Bristol,http://www.wikidata.org/entity/Q23154,http://dbpedia.org/resource/Bristol
bristol_azure-westeurope-prod_socrata_com,Bristol City council,http://www.wikidata.org/entity/Q16953796,http://dbpedia.org/resource/Bristol_City_Council
bristol_azure-westeurope-prod_socrata_com,Bristol City Council,http://www.wikidata.org/entity/Q16953796,http://dbpedia.org/resource/Bristol_City_Council
bristol_azure-westeurope-prod_socrata_com,bristol.gov.uk,,
bristol_azure-westeurope-prod_socrata_com,Christopher Reay,,
bristol_azure-westeurope-prod_socrata_com,Civil Aviation Authority,http://www.wikidata.org/entity/Q1875618,http://dbpedia.org/resource/Civil_Aviation_Authority_(United_Kingdom)
bristol_azure-westeurope-prod_socrata_com,Clare Zimmerman,,
bristol_azure-westeurope-prod_socrata_com,Daniel Lee,http://www.wikidata.org/entity/Q706142,http://dbpedia.org/resource/Danell_Lee
bristol_azure-westeurope-prod_socrata_com,editor,http://www.wikidata.org/entity/Q131212,http://dbpedia.org/resource/Editor-in-chief
bristol_azure-westeurope-prod_socrata_com,Emma Flanagan,http://www.wikidata.org/entity/Q16211337,
bristol_azure-westeurope-prod_socrata_com,Emma_Luke,,
bristol_azure-westeurope-prod_socrata_com,Environment Agency,http://www.wikidata.org/entity/Q5381011,http://dbpedia.org/resource/Environment_Agency
bristol_azure-westeurope-prod_socrata_com,Food Standards Agency,http://www.wikidata.org/entity/Q2741994,http://dbpedia.org/resource/Food_Standards_Agency
bristol_azure-westeurope-prod_socrata_com,gemma,http://www.wikidata.org/entity/Q19689422,http://dbpedia.org/resource/Gematria
bristol_azure-westeurope-prod_socrata_com,Hannen123,,
bristol_azure-westeurope-prod_socrata_com,http://data.police.uk/data/,,
bristol_azure-westeurope-prod_socrata_com,James Gay,http://www.wikidata.org/entity/Q22075519,http://dbpedia.org/resource/James_Gay_Sawkins
bristol_azure-westeurope-prod_socrata_com,JDPK,,
bristol_azure-westeurope-prod_socrata_com,John Kellas,,
bristol_azure-westeurope-prod_socrata_com,Katherine Rooney,,
bristol_azure-westeurope-prod_socrata_com,Kathrine Colyn,,
bristol_azure-westeurope-prod_socrata_com,Kevin O'Malley,http://www.wikidata.org/entity/Q17183115,
bristol_azure-westeurope-prod_socrata_com,mariakatosvich,,
bristol_azure-westeurope-prod_socrata_com,mark.cd.ashdown@gmail.com,,
bristol_azure-westeurope-prod_socrata_com,Matthew Cockburn,,
bristol_azure-westeurope-prod_socrata_com,Mr.Spooner,,
bristol_azure-westeurope-prod_socrata_com,Office for National Statistics,http://www.wikidata.org/entity/Q1334971,http://dbpedia.org/resource/Office_for_National_Statistics
bristol_azure-westeurope-prod_socrata_com,Ofgem,http://www.wikidata.org/entity/Q3349672,http://dbpedia.org/resource/Office_of_Gas_and_Electricity_Markets
bristol_azure-westeurope-prod_socrata_com,OFGEM,http://www.wikidata.org/entity/Q3349672,http://dbpedia.org/resource/Office_of_Gas_and_Electricity_Markets
bristol_azure-westeurope-prod_socrata_com,ONS,http://www.wikidata.org/entity/Q1334971,http://dbpedia.org/resource/Wind_farm
bristol_azure-westeurope-prod_socrata_com,ONS/SASPAC,,
bristol_azure-westeurope-prod_socrata_com,ONS/ SASPAC,,
bristol_azure-westeurope-prod_socrata_com,Pete Britten,,
bristol_azure-westeurope-prod_socrata_com,Raddy,http://www.wikidata.org/entity/Q35247525,http://dbpedia.org/resource/Radomir_Antić
bristol_azure-westeurope-prod_socrata_com,Rodric Yates,,
bristol_azure-westeurope-prod_socrata_com,Rose Mortada,,
bristol_azure-westeurope-prod_socrata_com,Ryan Lintott,,
bristol_azure-westeurope-prod_socrata_com,Sam Gunner,,
bristol_azure-westeurope-prod_socrata_com,SEO Company Bristol,,
bristol_azure-westeurope-prod_socrata_com,Simone Grassi,,
bristol_azure-westeurope-prod_socrata_com,Source West,,
bristol_azure-westeurope-prod_socrata_com,Things To Do With Data,,
bristol_azure-westeurope-prod_socrata_com,thul,http://www.wikidata.org/entity/Q7798734,http://dbpedia.org/resource/Rare_earth_element
