Portal Identifier,Snapshot Identifier,Dataset Identifier,Organization,Wikidata URI (latest),DBpedai URI (latest)
data_gov_au,1624,02dc15c8-cd31-4b2f-abd0-276e59e391c3,City of Ballarat,https://www.wikidata.org/entity/Q805150,http://dbpedia.org/resource/Ballarat
data_gov_uk,1839,0dc09630-c019-4e66-8caf-389c876bb078,HM Land Registry,https://www.wikidata.org/entity/Q5635120,
data_gov_au,1839,0f208fbe-8cf4-4408-b39e-07ca9700ffcf,Australian Bureau of Agriculture and Resource Economics and Sciences,https://www.wikidata.org/entity/Q861851,
data_seattle_gov,1914,2b79-5pr8,Seattle Department of Transportation,https://www.wikidata.org/entity/Q39052410,
data_gov_au,1839,2df7270d-133a-43ee-8a8c-9973abb39de1,Department of Jobs and Small Business,https://www.wikidata.org/entity/Q48806046,
data_gov_uk,1624,2faf572b-ad8d-402b-ba8f-ddefc5611839,Department of Energy and Climate Change,https://www.wikidata.org/entity/Q3044733,http://dbpedia.org/resource/Category:Department_of_Energy_and_Climate_Change
data_gov_uk,1624,2fc75b92-a71c-4f87-acc3-f1e5a2803c85,Centre for Ecology & Hydrology,https://www.wikidata.org/entity/Q5062417,http://dbpedia.org/resource/Centre_for_Ecology_and_Hydrology
data_gov_ie,1624,2fe36d6c-9638-485a-b8d3-dae0c8ca3669,"Department of Arts, Heritage and the Gaeltacht",https://www.wikidata.org/entity/Q4294422,"http://dbpedia.org/resource/Department_of_Arts,_Heritage_and_Environment"
data_gov_uk,1624,5741a134-330e-4067-8909-eb71ae849651,Leeds City Council,https://www.wikidata.org/entity/Q6515870,http://dbpedia.org/resource/Leeds_City_Council
data_london_gov_uk,1624,5743b248-2a83-460e-a0ed-f79a273f576a,"Department for Environment, Food and Rural Affairs",https://www.wikidata.org/entity/Q3044721,"http://dbpedia.org/resource/Department_for_Environment,_Food_and_Rural_Affairs"
data_seattle_gov,1642,57455e50-8300-43aa-83c1-224dd12b476d,"Department of Housing, Planning, Community and Local Government",https://www.wikidata.org/entity/Q4294549,"http://dbpedia.org/resource/Minister_for_Housing,_Planning,_Community_and_Local_Government"
finances_worldbank_org,1841,5772-ijws,World Bank Group,https://www.wikidata.org/entity/Q320863,http://dbpedia.org/resource/World_Bank_Group
data_act_gov_au,1842,i78i-94ru,ACT Health,https://www.wikidata.org/entity/Q30264330,
data_sa_gov_au,1626,0117b311-d738-43ba-b528-9d5f583d8a83,Adelaide City Council,https://www.wikidata.org/entity/Q56477697,http://dbpedia.org/resource/City_of_Adelaide
data_humdata_org,1847,0166def4-bac0-4d33-a929-f5596d18e178,American Red Cross,https://www.wikidata.org/entity/Q470110,http://dbpedia.org/resource/American_Red_Cross
annuario_comune_fi_it,1624,00934c39-1d1f-453f-988b-2446f57279fd,Annuario Statistico,https://www.wikidata.org/entity/Q27720750,
annuario_comune_fi_it,1818,005f38f8-eb54-48b2-ac6e-acdcb1006938,Annuario Statistico del Comune di Firenze,https://www.wikidata.org/entity/Q27720750,
offenedaten_de,1811,0035d0eb-3001-4dbe-8147-c256eccd519e,Berlin,https://www.wikidata.org/entity/Q64,http://dbpedia.org/resource/Berlin
datahub_io,1624,013217d3-2598-4e58-8436-50bfa111788a,Bibliographic Data,https://www.wikidata.org/entity/Q1789476,http://dbpedia.org/resource/Bibliographic_database
data_gov_uk,1624,00029d8d-1be7-4435-9ef8-95dc8cc20e48,"Department for Business, Innovation and Skills",https://www.wikidata.org/entity/Q2612027,"http://dbpedia.org/resource/Department_for_Business,_Innovation_and_Skills"
data_gov_ie,1624,00011b37-033b-4255-8a71-07711fdbb6ae,"Department of Communications, Energy and Natural Resources",https://www.wikidata.org/entity/Q4294656,"http://dbpedia.org/resource/Department_of_Communications,_Energy_and_Natural_Resources"
offenedaten_de,1746,000263ea-0ccc-46bb-b512-4e759fe794b0,Hamburg,https://www.wikidata.org/entity/Q1055,http://dbpedia.org/resource/Hamburg
govdata_de,1624,00025dfe-303f-4a59-8bb2-ef1097d629c3,Open-Government-Data-Portal Rheinland-Pfalz,https://www.wikidata.org/entity/Q63428138,
dati_trentino_it,1624,0005efab-845c-49fa-bac6-5b7127f29d4c,PAT S. Statistica,https://www.wikidata.org/entity/Q16289,
data_bris_ac_uk_data_,1633,0008250b-19e5-40a0-8350-374109396a70,"Paul May,",https://www.wikidata.org/entity/Q3634934,http://dbpedia.org/resource/Paul_Mayeda_Berges
data_bris_ac_uk_data_,1624,0005beed-40d0-4e7f-b5de-9e227fd68692,"Tolga Karsili, Michael Ashfold, Barbara Marchetti,",https://www.wikidata.org/entity/Q459506,http://dbpedia.org/resource/University_of_Bristol
iatiregistry_org,1624,00039d25-4014-4841-a9b5-9108df23040c,UK - Department of Health,https://www.wikidata.org/entity/Q3044742,http://dbpedia.org/resource/Department_of_Health_(United_Kingdom)
data_sa_gov_au,1624,01679c85-ea70-4fda-94e7-1ba5c4718e09,City of Salisbury Council,https://www.wikidata.org/entity/Q947334,http://dbpedia.org/resource/Salisbury
data_sa_gov_au,1624,00276f4b-4833-4695-9ceb-052c28ec3599,Commonwealth Datasets,https://www.wikidata.org/entity/Q3954348,http://dbpedia.org/resource/Commonwealth_of_Nations
dados_gov_br,1625,0018277e-675f-4a6e-ba97-13f4a1e9f9b9,Controladoria Geral da União,https://www.wikidata.org/entity/Q3624988,
data_gov_au,1624,0064ac1e-61ad-462a-99f0-d99eecd59bfc,Corangamite Shire Council,https://www.wikidata.org/entity/Q1131914,http://dbpedia.org/resource/Corangamite_Shire
africaopendata_org,1624,010f51f3-ac9e-439c-b605-07b189ec0acb,CSBAG,https://www.wikidata.org/entity/Q24944417,
data_opencolorado_org,1701,00503618-b606-42c0-a8b2-c9eb2ef2fcf5,Denver Regional Council of Governments,https://www.wikidata.org/entity/Q5259777,http://dbpedia.org/resource/Denver_Regional_Council_of_Governments
dados_al_gov_br,1639,003ec06d-564b-482d-9934-015cba0feba3,Departamento de Estradas de Rodagem de Alagoas,https://www.wikidata.org/entity/Q40885,
data_gov_uk,1839,00029d8d-1be7-4435-9ef8-95dc8cc20e48,"Department for Business, Energy and Industrial Strategy",https://www.wikidata.org/entity/Q25927629,
data_gov_uk,1851,00345cfb-0b7c-4d35-a453-11e76ef5b479,Department for Education,https://www.wikidata.org/entity/Q2612019,
data_gov_au,1839,003a1d7e-1f1d-4685-82d3-93d02dc1c922,Department for Environment and Water,https://www.wikidata.org/entity/Q5260295,
data_gov_ie,1810,00011b37-033b-4255-8a71-07711fdbb6ae,"Department of Communications, Climate Action & Environment",https://www.wikidata.org/entity/Q6865770,
data_gov_au,1839,010fdecb-45fc-495c-9c0a-b157806766fb,"Department of Industry, Innovation and Science",https://www.wikidata.org/entity/Q19872849,
data_gov_au,1624,010fdecb-45fc-495c-9c0a-b157806766fb,Department of the Prime Minister and Cabinet,https://www.wikidata.org/entity/Q1191489,http://dbpedia.org/resource/Department_of_the_Prime_Minister_and_Cabinet_(Australia)
data_sa_gov_au,1624,00468af7-ef81-46f3-9d77-d0cdeae6df62,Dept of Primary Industries and Regions,https://www.wikidata.org/entity/Q5260456,
open-data_europa_eu,1851,005bf357-3289-460f-9677-c1f8ae0f6875,"Directorate-General for Employment, Social Affairs and Inclusion",https://www.wikidata.org/entity/Q3375710,"http://dbpedia.org/resource/Directorate-General_for_Employment,_Social_Affairs_and_Inclusion"
data_opencolorado_org,1624,00503618-b606-42c0-a8b2-c9eb2ef2fcf5,DRCOG,https://www.wikidata.org/entity/Q5259777,http://dbpedia.org/resource/Denver_Regional_Council_of_Governments
data_qld_gov_au,1908,008c8aab-6105-4d40-9d6d-5dd27b1520b5,Education,https://www.wikidata.org/entity/Q8434,http://dbpedia.org/resource/Education
open-data_europa_eu,1624,005bf357-3289-460f-9677-c1f8ae0f6875,Eurostat,https://www.wikidata.org/entity/Q217659,http://dbpedia.org/resource/Eurostat
govdata_de,1828,00f95046-3f6d-5528-992e-55757e1b3380,GDI-DE,https://www.wikidata.org/entity/Q1502855,
www_daten_rlp_de,1729,002e866f-b18a-482e-9bc5-b14c502cb225,Landesamt für Geologie und Bergbau,https://www.wikidata.org/entity/Q1802057,
daten_rlp_de,1624,00a3ac85-aa08-433b-9715-c1dd6b037e4c,Landesbetrieb Mobilität Rheinland-Pfalz,https://www.wikidata.org/entity/Q1802132,
oppnadata_se,1749,015689c8-702b-41b5-adbd-0f23cb8af32c,Lidingo City in Sweden,https://www.wikidata.org/entity/Q3120654,
data_london_gov_uk,1624,0044e9bb-71b3-40d8-b99f-a599675bb2b5,London Fire and Emergency Planning Authority,https://www.wikidata.org/entity/Q6670416,http://dbpedia.org/resource/London_Fire_and_Emergency_Planning_Authority
data_gov,1847,00ce2bed-1cd1-4a1d-93ec-ab4b1cc8f856,Millennium Challenge Corporation,https://www.wikidata.org/entity/Q1425405,http://dbpedia.org/resource/Millennium_Challenge_Corporation
www_daten_rlp_de,1729,007e58b9-cf5f-48fe-a10e-a46c6945501d,"Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau",https://www.wikidata.org/entity/Q50037280,
danepubliczne_gov_pl,1836,010020bb-202a-4845-84a3-66e4bae3a8bf,Ministerstwo Inwestycji i Rozwoju,https://www.wikidata.org/entity/Q47495435,
opendata_go_tz,1631,0074db31-dd99-4bbe-88f6-b892ba322d63,Ministry of Education and Vocational Training,https://www.wikidata.org/entity/Q60050038,http://dbpedia.org/resource/Ministry_of_Education_and_Vocational_Training_(Tanzania)
data_gov_uk,1851,0075e3cf-4a44-480c-9b6c-e74903c5782f,"Ministry of Housing, Communities and Local Government",https://www.wikidata.org/entity/Q601819,
data_qld_gov_au,1624,00bb290d-a45e-4a80-acd6-84ea2c394d0f,Natural Resources and Mines,https://www.wikidata.org/entity/Q5260420,
opendata_go_tz,1709,013309d7-246b-4608-b1df-86dd998eae5e,National Bureau of Statistics,https://www.wikidata.org/entity/Q6971157,
data_gov_au,1624,00602301-ad90-4657-abd9-8025d9bf485a,National Native Title Tribunal,https://www.wikidata.org/entity/Q6974542,http://dbpedia.org/resource/National_Native_Title_Tribunal
data_gov_au,1624,0041073d-f5ee-4225-a22f-f3f61d95c4f7,New South Wales Datasets,https://www.wikidata.org/entity/Q3224,http://dbpedia.org/resource/New_South_Wales
data_opencolorado_org,1839,008124fb-2fd9-4f13-9088-254302c9d4a8,Pitkin County,https://www.wikidata.org/entity/Q312475,"http://dbpedia.org/resource/Pitkin_County,_Colorado"
data_sa_gov_au,1632,00ccaac9-d75a-45ad-a6b2-8a9d70d46aa3,SA Country Fire Service,https://www.wikidata.org/entity/Q7566104,http://dbpedia.org/resource/South_Australian_Country_Fire_Service
data_bris_ac_uk_data_,1839,0005beed-40d0-4e7f-b5de-9e227fd68692,Science,https://www.wikidata.org/entity/Q459506,http://dbpedia.org/resource/University_of_Bristol
www_daten_rlp_de,1813,00a9d366-829d-4235-b86b-7d9c187535b9,Stadt Andernach,https://www.wikidata.org/entity/Q490058,http://dbpedia.org/resource/Andernach
daten_rlp_de,1729,00560ec0-8c1a-42a6-b8ef-1fb83044fd99,Stadt Boppard,https://www.wikidata.org/entity/Q521148,
www_daten_rlp_de,1813,0021f998-9680-4a38-b238-6a30cdec9be1,Stadt Mayen,https://www.wikidata.org/entity/Q516611,
www_daten_rlp_de,1624,00b5fdbe-fd7d-4182-a25c-860db8d741e1,Stadt Zweibrücken,https://www.wikidata.org/entity/Q16017,http://dbpedia.org/resource/Zweibr%C3%BCcken
www_daten_rlp_de,1813,0055e32c-e567-4a21-97d0-dabb15f61baf,Struktur- und Genehmigungsdirektion Nord,https://www.wikidata.org/entity/Q2357241,
iatiregistry_org,1839,00039d25-4014-4841-a9b5-9108df23040c,UK - Department of Health and Social Care (DHSC),https://www.wikidata.org/entity/Q3044742,http://dbpedia.org/resource/Department_of_Health_(United_Kingdom)
data_london_gov_uk,1624,00326043-62b6-47a8-9a49-1aa226b7e2c4,UK Power Networks,https://www.wikidata.org/entity/Q7864927,http://dbpedia.org/resource/UK_Power_Networks
linkeddatacatalog_dws_informatik_uni-mannheim_de,1624,006fad21-6664-4be5-ba45-bf7296d55e59,UniProt consortium,https://www.wikidata.org/entity/Q905695,
iatiregistry_org,1624,00116a42-7427-4907-875c-2209310d85b5,United Nations Development Programme,https://www.wikidata.org/entity/Q161718,http://dbpedia.org/resource/United_Nations_Development_Programme
www_daten_rlp_de,1729,011338e8-e8f6-4778-bc8e-fe8579593c68,Verbandsgemeide Kastellaun,https://www.wikidata.org/entity/Q539726,http://dbpedia.org/resource/Kastellaun
daten_rlp_de,1729,00950f7b-707f-401e-a15f-8be37e2ab94d,Verbandsgemeide Kirchberg,https://www.wikidata.org/entity/Q20079,"http://dbpedia.org/resource/Kirchberg,_Rhein-Hunsr%C3%BCck"
daten_rlp_de,1729,0009ae69-0e93-46e3-9eed-8da231586170,Verbandsgemeide Rheinböllen,https://www.wikidata.org/entity/Q631840,http://dbpedia.org/resource/Rheinb%C3%B6llen
daten_rlp_de,1729,0036adbe-83f0-43bc-912a-8f81c533c85d,Verbandsgemeide Simmern,https://www.wikidata.org/entity/Q275636,http://dbpedia.org/resource/Simmern
daten_rlp_de,1624,00e1bd48-202f-4f5a-b0d1-3b7154ddd8ff,Verbandsgemeinde Cochem,https://www.wikidata.org/entity/Q511057,http://dbpedia.org/resource/Cochem
www_daten_rlp_de,1729,0025b985-fc5a-4a57-9755-3b3823c6b53e,Verbandsgemeinde Gerolstein,https://www.wikidata.org/entity/Q516840,http://dbpedia.org/resource/Gerolstein
daten_rlp_de,1628,0111a941-80e2-47a7-9e52-3bab681c5187,Verbandsgemeinde Hamm,https://www.wikidata.org/entity/Q561426,http://dbpedia.org/resource/Hamm
www_daten_rlp_de,1729,0037a0f9-6ec3-440b-8207-de0e22b5727c,Verbandsgemeinde Vallendar,https://www.wikidata.org/entity/Q519366,http://dbpedia.org/resource/Vallendar
govdata_de,1812,01107185-2566-44b0-a5a4-6ac183c243b9,Verbandsgemeinde Vordereifel,https://www.wikidata.org/entity/Q481543,http://dbpedia.org/resource/Vordereifel
offenedaten_de,1744,00f0388e-9ade-4f3c-9351-073e1881c04b,Wesel,https://www.wikidata.org/entity/Q4011,http://dbpedia.org/resource/Wesel
offenedaten_de,1752,002e47f8-0b10-438f-ad72-6f1e846cd6d9,Wuppertal,https://www.wikidata.org/entity/Q2107,http://dbpedia.org/resource/Wuppertal
govdata_de,1624,0048bb7d-9ffa-4a6a-b559-fc149c8d6ef8,Bundesministerium des Innern,https://www.wikidata.org/entity/Q502698,http://dbpedia.org/resource/Federal_Ministry_of_the_Interior_(Germany)
govdata_de,1635,5978d5aa-829a-4603-9c59-1ade3e907de1,Deutsches Patent- und Markenamt,https://www.wikidata.org/entity/Q314296,http://dbpedia.org/resource/Deutsches_Patent-_und_Markenamt
govdata_de,1832,5ac8050e-0a46-425d-85c7-5cf8b7e33319,BSR - Berliner Stadtreinigungsbetriebe,https://www.wikidata.org/entity/Q733237,
transparenz_hamburg_de,1809,fb70b9d3-66b2-45d5-a5ab-b8c3716965eb,"Hamburger Hochbahn AG, TBB11 - Sachgebiet Vermessung",https://www.wikidata.org/entity/Q6442,
transparenz_hamburg_de,1814,fb70b9d3-66b2-45d5-a5ab-b8c3716965eb,"Hamburger Hochbahn AG, Sachgebiet Vermessung",https://www.wikidata.org/entity/Q6442,
govdata_de,1851,01cdfa66-2811-487c-afca-231255580910,Freie und Hansestadt Bremen,https://www.wikidata.org/entity/Q24879,http://dbpedia.org/resource/Bremen
govdata_de,1841,01282c4c-1811-494f-b8ea-bd55033fd1d8,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin",https://www.wikidata.org/entity/Q27978810,
govdata_de,1833,003461d9-f471-4c31-95b8-e818f63e3cd2,"Bundeskriminalamt, KI 35",https://www.wikidata.org/entity/Q56030,http://dbpedia.org/resource/Federal_Criminal_Police_Office
govdata_de,1841,0224bd3d-94c8-422b-a3f4-b62d22ff0dce,Senatsverwaltung für Stadtentwicklung und Wohnen Berlin,https://www.wikidata.org/entity/Q27978799,
govdata_de,1851,02adb408-6e6f-4e62-99f6-9961245beada,Senatsverwaltung für Gesundheit und Soziales,https://www.wikidata.org/entity/Q21776840,
govdata_de,1904,02adb408-6e6f-4e62-99f6-9961245beada,Senatsverwaltung für Gesundheit und Soziales Berlin,https://www.wikidata.org/entity/Q21776840,
open-data_europa_eu,1625,9336b2fe-407b-471c-97bb-be47f53d72a6,"European Commission- DG Financial Stability, Financial Services and Capital Markets Union",https://www.wikidata.org/entity/Q5280597,"http://dbpedia.org/resource/Directorate-General_for_Financial_Stability,_Financial_Services_and_Capital_Markets_Union"
open-data_europa_eu,1716,9336b2fe-407b-471c-97bb-be47f53d72a6,"Directorate-General for Financial Stability, Financial Services and Capital Markets Union",https://www.wikidata.org/entity/Q5280597,"http://dbpedia.org/resource/Directorate-General_for_Financial_Stability,_Financial_Services_and_Capital_Markets_Union"
data_gov_ie,1641,0de010ce-6b80-464a-a12c-205e35f8c740,"Department of Housing, Planning, Community and Local Government",https://www.wikidata.org/entity/Q4294549,"http://dbpedia.org/resource/Department_of_Housing,_Planning,_Community_and_Local_Government"
data_gov_ie,1742,0de010ce-6b80-464a-a12c-205e35f8c740,"Department of Housing, Planning and Local Government",https://www.wikidata.org/entity/Q4294549,"http://dbpedia.org/resource/Department_of_Housing,_Planning,_Community_and_Local_Government"
offenedaten_de,1624,8a469918687b7e454ed0eded582917e1e0275ded,Verbandsgemeinde Selters,https://www.wikidata.org/entity/Q519525,http://dbpedia.org/resource/Selters_(Verbandsgemeinde)
offenedaten_de,1742,8a469918687b7e454ed0eded582917e1e0275ded,Verbandsgemeinde Selters (Westerwald),https://www.wikidata.org/entity/Q519525,http://dbpedia.org/resource/Selters_(Verbandsgemeinde)
data_kcmo_org,1840,yg5b-n4yi,KCPD Information Technology,https://www.wikidata.org/entity/Q16998100,
data_kcmo_org,1840,ydzz-ekab,U.S. Census Bureau,https://www.wikidata.org/entity/Q637413,http://dbpedia.org/resource/United_States_Census_Bureau
data_gov_md,1624,0388e386-a873-41ab-a4d7-00b0d58ca0e8,Ministerul Educaţiei,https://www.wikidata.org/entity/Q4294639,http://dbpedia.org/resource/Ministry_of_Education_(Moldova)
data_gov_md,1818,0388e386-a873-41ab-a4d7-00b0d58ca0e8,"Ministerul Educaţiei, Culturii și Cercetării",https://www.wikidata.org/entity/Q4294639,http://dbpedia.org/resource/Ministry_of_Education_(Moldova)
data_sfgov_org,1732,pyxa-3r7p,San Francisco Ethics Commission,https://www.wikidata.org/entity/Q7414003,http://dbpedia.org/resource/San_Francisco_Ethics_Commission
opendata_paris_fr_opendatasoft_com,1624,budget-votes-ap-autotrisations-de-programmes,Mairie de Paris,https://www.wikidata.org/entity/Q3278478,
opendata_paris_fr_opendatasoft_com,1636,budget-votes-ap-autotrisations-de-programmes,Mairie de Paris / Direction des Finances et des Achats,https://www.wikidata.org/entity/Q3278478,
bronx_lehman_cuny_edu,1841,58vr-djkq,New York State Dept of Transportation,https://www.wikidata.org/entity/Q527769,http://dbpedia.org/resource/New_York_State_Department_of_Transportation
bronx_lehman_cuny_edu,1841,5fk6-f4yc,US Census Bureau,https://www.wikidata.org/entity/Q637413,http://dbpedia.org/resource/United_States_Census_Bureau
